V1,V2
X.Exrain.Week.20.,0.082449762
X.Cldays.Week.20.,-0.884347485
X.Hdays.Week.20.,-0.523434564
X.Codays.Week.20.,-1.566959423
X.Hunits.Week.20.,0.492005678
X.Prcp.Week.21.,-1.099067711
X.Tmax.Week.21.,0.527171347
X.Tmin.Week.21.,0.990704737
X.Srad.Week.21.,1.866104578
X.Gdd.Week.21.,-2.520029573
X.Rdays.Week.21.,-0.202516095
X.Exrain.Week.21.,-0.024917384
X.Cldays.Week.21.,0.074544511
X.Hdays.Week.21.,-0.060633332
X.Codays.Week.21.,-0.106939752
X.Hunits.Week.21.,-0.990208181
X.Prcp.Week.22.,-1.215653516
X.Tmax.Week.22.,2.5897041
X.Tmin.Week.22.,2.518371076
X.Srad.Week.22.,0.238211992
X.Rdays.Week.22.,0.509198464
X.Exrain.Week.22.,0.267854549
X.Cldays.Week.22.,0.221022588
X.Hdays.Week.22.,-0.851592062
X.Codays.Week.22.,-0.165128287
X.Hunits.Week.22.,3.630100755
X.Prcp.Week.23.,-1.227018869
X.Tmax.Week.23.,2.660811678
X.Tmin.Week.23.,1.81677648
X.Srad.Week.23.,0.172512054
X.Gdd.Week.23.,0.250246979
X.Rdays.Week.23.,0.168287446
X.Exrain.Week.23.,0.146549871
X.Cldays.Week.23.,0.970299995
X.Hdays.Week.23.,1.185681692
X.Codays.Week.23.,0.524762985
X.Hunits.Week.23.,0.976491529
X.Prcp.Week.24.,-0.726610744
X.Tmax.Week.24.,-2.171446899
X.Tmin.Week.24.,-0.095679335
X.Srad.Week.24.,2.918051466
X.Rdays.Week.24.,-0.079215294
X.Exrain.Week.24.,-0.132272486
X.Cldays.Week.24.,0.707374198
X.Hdays.Week.24.,0.500301271
X.Hunits.Week.24.,-1.383967115
X.Prcp.Week.25.,-0.865979737
X.Tmax.Week.25.,-1.688195767
X.Tmin.Week.25.,7.325615411
X.Srad.Week.25.,-0.316550791
X.Gdd.Week.25.,-1.978775702
X.Rdays.Week.25.,-0.350995346
X.Exrain.Week.25.,-0.229025617
X.Cldays.Week.25.,0.238652275
X.Hdays.Week.25.,-1.092518097
X.Codays.Week.25.,0.010059579
X.Hunits.Week.25.,0.014785223
X.Prcp.Week.26.,-1.644181558
X.Tmax.Week.26.,-0.619040803
X.Tmin.Week.26.,-2.00339986
X.Srad.Week.26.,-0.326619449
X.Rdays.Week.26.,1.05155024
X.Exrain.Week.26.,0.363416059
X.Cldays.Week.26.,0.046273396
X.Hdays.Week.26.,-0.274374952
X.Codays.Week.26.,-0.123453885
X.Hunits.Week.26.,0.198878234
X.Prcp.Week.27.,-0.86044203
X.Tmax.Week.27.,-4.059736383
X.Tmin.Week.27.,-0.192177758
X.Srad.Week.27.,2.568977946
X.Gdd.Week.27.,-0.741471293
X.Rdays.Week.27.,0.583444866
X.Exrain.Week.27.,0.329607229
X.Cldays.Week.27.,0.257077154
X.Hunits.Week.27.,1.394141686
X.Prcp.Week.28.,0.197492958
X.Tmax.Week.28.,1.919156235
X.Tmin.Week.28.,2.204824991
X.Srad.Week.28.,-0.531451043
X.Gdd.Week.28.,0.002402774
X.Rdays.Week.28.,0.842977515
X.Exrain.Week.28.,0.586540304
X.Cldays.Week.28.,-0.981443376
X.Hdays.Week.28.,-0.905574985
X.Codays.Week.28.,0.170785702
X.Hunits.Week.28.,-0.39587852
X.Tmax.Week.29.,-2.582689587
X.Tmin.Week.29.,8.898663468
X.Srad.Week.29.,2.085626782
X.Gdd.Week.29.,-3.838783871
X.Rdays.Week.29.,1.728169664
X.Exrain.Week.29.,1.16081413
X.Cldays.Week.29.,-0.570091717
X.Hdays.Week.29.,0.192611681
X.Hunits.Week.29.,-3.132617183
X.Prcp.Week.30.,0.818864241
X.Tmax.Week.30.,-3.94719025
X.Tmin.Week.30.,-2.971588422
X.Srad.Week.30.,0.775117103
X.Rdays.Week.30.,0.747796988
X.Exrain.Week.30.,0.29378775
X.Cldays.Week.30.,-0.134842904
X.Hdays.Week.30.,-0.587711947
X.Hunits.Week.30.,-0.76591552
X.Prcp.Week.31.,0.612335653
X.Tmax.Week.31.,-3.516130004
X.Tmin.Week.31.,-2.710280777
X.Srad.Week.31.,1.483881948
X.Gdd.Week.31.,-0.066974865
X.Rdays.Week.31.,0.851141311
X.Exrain.Week.31.,0.829282657
X.Cldays.Week.31.,-0.021561659
X.Hdays.Week.31.,-0.926264756
X.Hunits.Week.31.,-1.231914411
X.Prcp.Week.32.,0.610604351
X.Tmax.Week.32.,-1.134186598
X.Srad.Week.32.,-0.924105862
X.Gdd.Week.32.,-0.000154992
X.Rdays.Week.32.,0.015984081
X.Exrain.Week.32.,-0.485176536
X.Cldays.Week.32.,-0.335554334
X.Hdays.Week.32.,0.670291838
X.Codays.Week.32.,-0.070502827
X.Hunits.Week.32.,-0.113235164
X.Prcp.Week.33.,-0.711030839
X.Tmax.Week.33.,-1.656014422
X.Tmin.Week.33.,-0.448282848
X.Srad.Week.33.,0.870570942
X.Rdays.Week.33.,-0.156607807
X.Exrain.Week.33.,0.193397196
X.Cldays.Week.33.,0.700093708
X.Hdays.Week.33.,-0.227201412
X.Codays.Week.33.,0.091315917
X.Hunits.Week.33.,-1.003402169
X.Prcp.Week.34.,0.135314468
X.Tmax.Week.34.,1.433401346
X.Tmin.Week.34.,5.995804463
X.Srad.Week.34.,0.869960948
X.Gdd.Week.34.,-0.280383626
X.Rdays.Week.34.,0.603333808
X.Exrain.Week.34.,0.304323346
X.Cldays.Week.34.,0.175383971
X.Hdays.Week.34.,-0.334295468
X.Codays.Week.34.,-0.25566323
X.Hunits.Week.34.,-0.738091265
X.Prcp.Week.35.,0.741306813
X.Tmax.Week.35.,-3.928825121
X.Tmin.Week.35.,0.638379536
X.Srad.Week.35.,0.509207547
X.Rdays.Week.35.,0.619114365
X.Exrain.Week.35.,0.362352345
X.Cldays.Week.35.,-0.855054341
X.Hdays.Week.35.,0.111658458
X.Hunits.Week.35.,-0.993662125
X.Prcp.Week.36.,-1.107700509
X.Tmax.Week.36.,-1.606587705
X.Tmin.Week.36.,0.545261168
X.Srad.Week.36.,0.212086899
X.Rdays.Week.36.,0.870273484
X.Exrain.Week.36.,1.285836926
X.Cldays.Week.36.,-0.4880187
X.Hdays.Week.36.,-1.056030537
X.Codays.Week.36.,0.606581477
X.Hunits.Week.36.,0.018308893
X.Prcp.Week.37.,-0.214332652
X.Tmax.Week.37.,-0.515273831
X.Tmin.Week.37.,-1.055096639
X.Srad.Week.37.,-0.233990859
X.Gdd.Week.37.,-1.255849819
X.Rdays.Week.37.,-0.130872
X.Exrain.Week.37.,-0.040395631
X.Cldays.Week.37.,0.752335547
X.Hdays.Week.37.,0.229954562
X.Codays.Week.37.,-0.565587823
X.Hunits.Week.37.,1.654211843
X.Prcp.Week.38.,-0.231239459
X.Tmax.Week.38.,4.188496348
X.Tmin.Week.38.,-4.546035981
X.Srad.Week.38.,-2.79351722
X.Gdd.Week.38.,3.454534245
X.Rdays.Week.38.,-0.77288561
X.Exrain.Week.38.,-0.756645748
X.Cldays.Week.38.,-0.305304283
X.Hdays.Week.38.,-1.510307245
X.Codays.Week.38.,-1.060050217
X.Hunits.Week.38.,0.607857236
X.Prcp.Week.39.,-0.740102271
X.Tmax.Week.39.,1.552171626
X.Tmin.Week.39.,-0.50031871
X.Srad.Week.39.,-1.026661229
X.Rdays.Week.39.,0.45965477
X.Exrain.Week.39.,0.500535944
X.Cldays.Week.39.,-1.39739494
X.Hdays.Week.39.,0.572011714
X.Codays.Week.39.,-0.477833224
X.Hunits.Week.39.,-0.478093751
X.Prcp.Week.40.,0.566877772
X.Tmax.Week.40.,3.925210792
X.Tmin.Week.40.,0.943974966
X.Srad.Week.40.,-1.763909127
X.Gdd.Week.40.,-5.079184891
X.Rdays.Week.40.,0.759189544
X.Exrain.Week.40.,-0.075593232
X.Cldays.Week.40.,-1.297660065
X.Hdays.Week.40.,0.431173161
X.Codays.Week.40.,-0.774187473
X.Hunits.Week.40.,-0.323596103
X.Prcp.Week.41.,0.215321625
X.Tmax.Week.41.,2.630862392
X.Tmin.Week.41.,1.620117555
X.Srad.Week.41.,-0.992615696
X.Gdd.Week.41.,-0.577595647
X.Rdays.Week.41.,0.272483215
X.Exrain.Week.41.,-0.236403396
X.Cldays.Week.41.,-1.478404263
X.Codays.Week.41.,0.426544436
X.Prcp.Week.42.,-0.718759911
X.Tmax.Week.42.,0.087069049
X.Tmin.Week.42.,-2.316940696
X.Srad.Week.42.,-1.771161578
X.Gdd.Week.42.,3.400090272
X.Rdays.Week.42.,0.033102213
X.Exrain.Week.42.,0.479462297
